#,sireName,arch,foals,runs,wins,wps,win%,wps%, fees , winnings , profit , roi ,graded_wins
268,King of Victory,LDF,106,1556,251,692,16.1%,44.5%," 2,914,929 "," 3,218,724 "," 303,795 ", 0.10 ,8
269,Destroyer Of Worlds,RTF,6,106,18,52,17.0%,49.1%," 63,360 "," 69,960 "," 6,600 ", 0.10 ,0
270,Dust Star,RTS,6,83,18,50,21.7%,60.2%," 70,050 "," 77,306 "," 7,256 ", 0.10 ,0
271,Podium Snatcher,RDF,25,224,29,75,12.9%,33.5%," 482,050 "," 531,855 "," 49,805 ", 0.10 ,1
272,Indian Wells,RTF,206,6327,950,2686,15.0%,42.5%," 18,339,918 "," 20,217,058 "," 1,877,140 ", 0.10 ,173
273,Solami Maxi,RDF,5,69,16,35,23.2%,50.7%," 77,025 "," 84,895 "," 7,870 ", 0.10 ,0
274,Mr. Nobody,LTS,7,103,25,57,24.3%,55.3%," 69,193 "," 76,260 "," 7,067 ", 0.10 ,0
275,Red Rum,RTS,98,1576,203,593,12.9%,37.6%," 2,597,891 "," 2,862,359 "," 264,468 ", 0.10 ,5
276,Mr. Game Seven,LDF,36,200,34,79,17.0%,39.5%," 413,570 "," 455,054 "," 41,484 ", 0.10 ,1
277,Stylish Stud #87,#N/A,13,392,82,210,20.9%,53.6%," 682,766 "," 750,662 "," 67,896 ", 0.10 ,7
278,Norseback,RTF,16,540,92,255,17.0%,47.2%," 789,953 "," 868,165 "," 78,212 ", 0.10 ,0
279,Nightsky,LDS,12,194,44,102,22.7%,52.6%," 298,765 "," 328,172 "," 29,407 ", 0.10 ,0
280,Arise,RTF,109,867,160,405,18.5%,46.7%," 801,300 "," 880,125 "," 78,825 ", 0.10 ,0
281,Swift Holiday,RDS,191,4349,687,1841,15.8%,42.3%," 11,475,696 "," 12,599,671 "," 1,123,975 ", 0.10 ,118
282,Crying Shame,LDF,12,174,24,76,13.8%,43.7%," 207,165 "," 227,377 "," 20,212 ", 0.10 ,0
283,Becker,RTF,25,372,74,187,19.9%,50.3%," 254,156 "," 278,928 "," 24,772 ", 0.10 ,0
284,Fieldfare,RTS,10,140,23,79,16.4%,56.4%," 88,690 "," 97,330 "," 8,640 ", 0.10 ,0
285,Ethiopian Coffee Jet,RTF,10,112,22,62,19.6%,55.4%," 63,460 "," 69,624 "," 6,164 ", 0.10 ,0
286,Hashishi,RTF,7,159,30,88,18.9%,55.3%," 92,755 "," 101,660 "," 8,905 ", 0.10 ,0
287,Tres Pulao,RTS,8,37,6,18,16.2%,48.6%," 19,405 "," 21,263 "," 1,858 ", 0.10 ,0
288,Los Chiquita,LTS,8,104,22,49,21.2%,47.1%," 106,215 "," 116,318 "," 10,103 ", 0.10 ,0
289,How Now Brown Cow,LDF,93,736,102,279,13.9%,37.9%," 1,272,430 "," 1,393,376 "," 120,946 ", 0.10 ,3
290,Shockwave,RDF,182,5062,795,2203,15.7%,43.5%," 26,428,706 "," 28,929,584 "," 2,500,878 ", 0.09 ,318
291,Game Changer,LTS,64,817,139,399,17.0%,48.8%," 1,574,610 "," 1,722,134 "," 147,524 ", 0.09 ,6
292,Spongeworthy,RTS,217,4395,688,1947,15.7%,44.3%," 12,840,540 "," 14,042,153 "," 1,201,613 ", 0.09 ,161
293,Little Queenie,RTS,192,2827,462,1256,16.3%,44.4%," 9,456,449 "," 10,328,889 "," 872,440 ", 0.09 ,128
294,Federer,RDF,8,50,14,20,28.0%,40.0%," 58,010 "," 63,337 "," 5,327 ", 0.09 ,0
295,Veni Vidi Vici,RDF,137,3201,535,1368,16.7%,42.7%," 9,248,040 "," 10,092,509 "," 844,469 ", 0.09 ,80
296,Hornitos,RTF,5,69,11,34,15.9%,49.3%," 78,095 "," 85,202 "," 7,107 ", 0.09 ,0
297,Madanga,RTS,14,196,30,95,15.3%,48.5%," 313,910 "," 342,452 "," 28,542 ", 0.09 ,0
298,Beast Mode,LDS,5,44,7,21,15.9%,47.7%," 54,995 "," 59,954 "," 4,959 ", 0.09 ,0
299,Let-r Rip,RDF,14,79,11,35,13.9%,44.3%," 64,185 "," 69,959 "," 5,774 ", 0.09 ,0
300,Hot Sauce,RDF,163,4739,689,1961,14.5%,41.4%," 21,626,800 "," 23,567,871 "," 1,941,071 ", 0.09 ,213
301,Starlight Wanderer,LDS,5,75,17,40,22.7%,53.3%," 49,520 "," 53,960 "," 4,440 ", 0.09 ,0
302,Sabertooth Rider,LDF,73,676,108,306,16.0%,45.3%," 1,247,535 "," 1,357,997 "," 110,462 ", 0.09 ,7
303,Creed,LDS,6,57,14,35,24.6%,61.4%," 54,985 "," 59,833 "," 4,848 ", 0.09 ,0
304,Sunshine Sky,RTS,5,8,1,4,12.5%,50.0%," 4,445 "," 4,829 ", 384 , 0.09 ,0
305,Benny The Dip,LDS,14,98,17,42,17.3%,42.9%," 196,430 "," 213,371 "," 16,941 ", 0.09 ,2
306,Sol Speed,RTF,7,74,12,37,16.2%,50.0%," 43,660 "," 47,379 "," 3,719 ", 0.09 ,0
307,Pacific Moonshine,RDF,32,585,99,269,16.9%,46.0%," 827,320 "," 897,798 "," 70,478 ", 0.09 ,0
308,Little Dynamite,RTS,371,5346,949,2554,17.8%,47.8%," 17,804,574 "," 19,287,410 "," 1,482,836 ", 0.08 ,219
309,Ghost of Perdition,RDF,5,33,5,17,15.2%,51.5%," 40,484 "," 43,847 "," 3,363 ", 0.08 ,0
310,Saturn,LTS,332,5742,1007,2720,17.5%,47.4%," 16,991,085 "," 18,398,204 "," 1,407,119 ", 0.08 ,136
311,Vainshtyr,LDS,48,792,113,338,14.3%,42.7%," 1,922,271 "," 2,080,430 "," 158,159 ", 0.08 ,10
312,El Toro Loco,RTF,7,42,5,15,11.9%,35.7%," 63,185 "," 68,370 "," 5,185 ", 0.08 ,0
313,Spectacular Kid,RTF,15,137,27,64,19.7%,46.7%," 104,535 "," 113,110 "," 8,575 ", 0.08 ,0
314,Shamrock,LDF,5,60,8,23,13.3%,38.3%," 115,515 "," 124,889 "," 9,374 ", 0.08 ,0
315,Queen Claire,RTF,17,145,26,61,17.9%,42.1%," 271,050 "," 292,924 "," 21,874 ", 0.08 ,4
316,Spicy Meatball,RTS,44,372,59,179,15.9%,48.1%," 357,250 "," 385,925 "," 28,675 ", 0.08 ,0
317,Evening Going Easy,RDS,59,560,71,236,12.7%,42.1%," 1,026,000 "," 1,108,325 "," 82,325 ", 0.08 ,7
318,Bellator,LDF,5,116,24,56,20.7%,48.3%," 122,653 "," 132,470 "," 9,817 ", 0.08 ,0
319,RamJet,LDS,7,50,7,23,14.0%,46.0%," 47,985 "," 51,822 "," 3,837 ", 0.08 ,0
320,Galaxy Opal,LDS,24,109,15,45,13.8%,41.3%," 74,415 "," 80,342 "," 5,927 ", 0.08 ,0
321,Aponi,LDS,61,787,141,375,17.9%,47.6%," 1,065,027 "," 1,149,398 "," 84,371 ", 0.08 ,1
322,Facundo,RTS,11,54,12,26,22.2%,48.1%," 28,735 "," 31,003 "," 2,268 ", 0.08 ,0
323,Tokyo Street Racer,RTS,21,117,18,55,15.4%,47.0%," 82,070 "," 88,531 "," 6,461 ", 0.08 ,0
324,DJ Screw,LDS,70,1054,176,449,16.7%,42.6%," 2,145,230 "," 2,312,642 "," 167,412 ", 0.08 ,21
325,Stadium Arcadium,LDF,13,74,10,29,13.5%,39.2%," 116,310 "," 125,268 "," 8,958 ", 0.08 ,0
326,Jabberwock,LDS,6,53,8,26,15.1%,49.1%," 56,445 "," 60,775 "," 4,330 ", 0.08 ,0
327,KlTKAT,RTF,6,52,10,22,19.2%,42.3%," 25,440 "," 27,386 "," 1,946 ", 0.08 ,0
328,Nightfall Shadow,RTF,25,114,15,50,13.2%,43.9%," 74,830 "," 80,552 "," 5,722 ", 0.08 ,0
329,Supine Vertebrate,LDS,45,856,145,379,16.9%,44.3%," 1,857,525 "," 1,997,476 "," 139,951 ", 0.08 ,16
330,Benjamin Maxwell,LDF,5,41,6,21,14.6%,51.2%," 55,400 "," 59,553 "," 4,153 ", 0.07 ,0
331,big fella,LDS,27,423,76,199,18.0%,47.0%," 354,050 "," 380,073 "," 26,023 ", 0.07 ,0
332,Missed Opportunity,LDF,24,285,42,134,14.7%,47.0%," 509,280 "," 546,611 "," 37,331 ", 0.07 ,2
333,Audemus,RTS,5,104,19,50,18.3%,48.1%," 110,779 "," 118,792 "," 8,013 ", 0.07 ,0
334,Deus Vult,LTS,74,1048,192,499,18.3%,47.6%," 1,674,330 "," 1,794,598 "," 120,268 ", 0.07 ,1
335,Cleared Hot,LDF,9,83,11,40,13.3%,48.2%," 68,220 "," 73,100 "," 4,880 ", 0.07 ,0
336,Final Boss,LDF,31,382,57,173,14.9%,45.3%," 792,695 "," 849,170 "," 56,475 ", 0.07 ,0
337,Skoolie,RTS,6,56,12,24,21.4%,42.9%," 74,405 "," 79,702 "," 5,297 ", 0.07 ,0
338,Jack Traven,LDS,6,53,7,23,13.2%,43.4%," 66,265 "," 70,959 "," 4,694 ", 0.07 ,0
339,Colonel Mustard,LTS,7,86,17,40,19.8%,46.5%," 92,830 "," 99,402 "," 6,572 ", 0.07 ,0
340,Tiger Tomorrow,LTS,6,141,25,82,17.7%,58.2%," 118,427 "," 126,775 "," 8,348 ", 0.07 ,0
341,Million Dollar Man,LDF,6,13,2,4,15.4%,30.8%," 10,035 "," 10,731 ", 696 , 0.07 ,0
342,Mach Two,RTF,23,108,14,44,13.0%,40.7%," 174,550 "," 186,651 "," 12,101 ", 0.07 ,0
343,Needle it Home,RDS,5,72,19,42,26.4%,58.3%," 60,870 "," 65,087 "," 4,217 ", 0.07 ,0
344,Minnesota Fats,RDS,5,53,12,34,22.6%,64.2%," 24,490 "," 26,179 "," 1,689 ", 0.07 ,0
345,Disciple,RDF,19,128,15,47,11.7%,36.7%," 178,670 "," 190,910 "," 12,240 ", 0.07 ,1
346,Milky Lisa,RDF,5,50,14,29,28.0%,58.0%," 63,665 "," 67,993 "," 4,328 ", 0.07 ,0
347,Wakeboard,LDS,6,85,14,43,16.5%,50.6%," 64,620 "," 68,968 "," 4,348 ", 0.07 ,0
348,Atreus,LTS,70,1450,317,831,21.9%,57.3%," 1,542,722 "," 1,646,432 "," 103,710 ", 0.07 ,0
349,Noble Step,LDF,47,591,113,284,19.1%,48.1%," 876,655 "," 935,138 "," 58,483 ", 0.07 ,0
350,Proton Power,LDF,7,37,6,19,16.2%,51.4%," 42,570 "," 45,408 "," 2,838 ", 0.07 ,0
351,Ivy and Gold,LTS,29,567,124,293,21.9%,51.7%," 722,985 "," 770,926 "," 47,941 ", 0.07 ,2
352,Wife Said No,LDF,24,122,15,43,12.3%,35.2%," 208,765 "," 222,552 "," 13,787 ", 0.07 ,0
353,Felaróf,LDS,20,258,40,117,15.5%,45.3%," 170,528 "," 181,774 "," 11,247 ", 0.07 ,0
354,Volcan,LDS,12,104,15,48,14.4%,46.2%," 65,775 "," 70,078 "," 4,303 ", 0.07 ,0
355,House Always Wins,LDF,9,21,5,8,23.8%,38.1%," 28,740 "," 30,614 "," 1,874 ", 0.07 ,0
356,Violet Skies,LDF,14,155,22,60,14.2%,38.7%," 112,190 "," 119,351 "," 7,161 ", 0.06 ,0
357,The Pelennor Fields,LDF,228,5280,740,2158,14.0%,40.9%," 19,074,475 "," 20,285,588 "," 1,211,113 ", 0.06 ,204
358,Simply Denim,LDS,5,110,22,57,20.0%,51.8%," 98,220 "," 104,441 "," 6,221 ", 0.06 ,0
359,Maker Shaker,LTS,85,884,150,404,17.0%,45.7%," 1,710,225 "," 1,817,334 "," 107,109 ", 0.06 ,3
360,Capitalist,RTF,111,1490,214,626,14.4%,42.0%," 2,930,875 "," 3,114,256 "," 183,381 ", 0.06 ,13
361,King Velocity,RDF,8,134,28,71,20.9%,53.0%," 114,880 "," 122,063 "," 7,183 ", 0.06 ,0
362,The Bronze Bomber,RTF,38,496,75,218,15.1%,44.0%," 337,660 "," 358,769 "," 21,109 ", 0.06 ,0
363,Happy Hour,LDF,6,87,13,35,14.9%,40.2%," 129,470 "," 137,560 "," 8,090 ", 0.06 ,0
364,Sol Invictus,RTF,233,4689,636,1886,13.6%,40.2%," 16,702,034 "," 17,738,514 "," 1,036,480 ", 0.06 ,198
365,Hickory Seasoning,RTS,9,128,17,59,13.3%,46.1%," 141,286 "," 150,044 "," 8,758 ", 0.06 ,0
366,Prime Time Sanders,RDF,8,56,10,22,17.9%,39.3%," 31,285 "," 33,214 "," 1,929 ", 0.06 ,0
367,Finland,LTS,9,211,43,112,20.4%,53.1%," 155,130 "," 164,686 "," 9,556 ", 0.06 ,0
368,Amerikan Empire,LDF,32,334,36,124,10.8%,37.1%," 517,410 "," 549,076 "," 31,666 ", 0.06 ,0
369,Griswold,RTF,152,1562,244,644,15.6%,41.2%," 2,416,963 "," 2,564,151 "," 147,188 ", 0.06 ,16
370,Orlando PB,RDF,8,82,17,30,20.7%,36.6%," 123,480 "," 130,963 "," 7,483 ", 0.06 ,0
371,Walter White,RTS,506,10424,1739,4789,16.7%,45.9%," 33,479,846 "," 35,492,668 "," 2,012,822 ", 0.06 ,308
372,Funny Valentine,LDS,22,146,19,56,13.0%,38.4%," 223,530 "," 236,895 "," 13,365 ", 0.06 ,1
373,Super Sour Diesel,RDF,28,490,61,186,12.4%,38.0%," 1,134,065 "," 1,201,020 "," 66,955 ", 0.06 ,7
374,The Contender,RTF,23,286,42,112,14.7%,39.2%," 520,279 "," 550,677 "," 30,398 ", 0.06 ,0
375,Red Pill,LTS,5,49,13,29,26.5%,59.2%," 66,950 "," 70,791 "," 3,841 ", 0.06 ,0
376,Wild Bush,LDS,14,153,25,69,16.3%,45.1%," 183,725 "," 194,262 "," 10,537 ", 0.06 ,0
377,Skully,RDF,15,66,6,23,9.1%,34.8%," 54,890 "," 58,030 "," 3,140 ", 0.06 ,0
378,Ekko,RTS,6,159,30,74,18.9%,46.5%," 208,870 "," 220,805 "," 11,935 ", 0.06 ,0
379,Trot On,RTS,41,345,67,157,19.4%,45.5%," 522,140 "," 551,689 "," 29,549 ", 0.06 ,1
380,Boxer,RTS,24,332,65,153,19.6%,46.1%," 569,183 "," 601,107 "," 31,924 ", 0.06 ,0
381,Churro,RTS,145,3353,469,1371,14.0%,40.9%," 14,284,746 "," 15,084,160 "," 799,414 ", 0.06 ,195
382,Perfect Match,RDF,8,78,22,35,28.2%,44.9%," 66,700 "," 70,427 "," 3,727 ", 0.06 ,0
383,Toxicodendron,RTF,111,1601,271,719,16.9%,44.9%," 2,363,140 "," 2,493,713 "," 130,573 ", 0.06 ,7
384,Pass the blunt,RTF,14,158,30,70,19.0%,44.3%," 121,205 "," 127,850 "," 6,645 ", 0.05 ,0
385,Stylish Stud #2267,#N/A,8,301,55,158,18.3%,52.5%," 567,923 "," 598,396 "," 30,474 ", 0.05 ,4
386,Vader,LDS,63,802,110,328,13.7%,40.9%," 1,722,111 "," 1,814,301 "," 92,190 ", 0.05 ,13
387,Avatar,RTF,31,426,73,179,17.1%,42.0%," 545,409 "," 574,593 "," 29,184 ", 0.05 ,0
388,Wes Anderson,LDS,12,75,10,39,13.3%,52.0%," 46,925 "," 49,422 "," 2,497 ", 0.05 ,0
389,Eous,LDF,8,115,18,46,15.7%,40.0%," 141,135 "," 148,531 "," 7,396 ", 0.05 ,0
390,Yohan Blake,RTF,11,50,10,18,20.0%,36.0%," 77,080 "," 81,115 "," 4,035 ", 0.05 ,1
391,Anakin Skywalker,RTF,10,143,18,55,12.6%,38.5%," 86,245 "," 90,725 "," 4,480 ", 0.05 ,0
392,Flying Dagger,LDS,10,155,25,73,16.1%,47.1%," 398,800 "," 418,853 "," 20,053 ", 0.05 ,7
393,Benny,RDF,8,112,23,58,20.5%,51.8%," 100,215 "," 105,240 "," 5,025 ", 0.05 ,0
394,Tiny Dart,LTS,27,276,55,135,19.9%,48.9%," 340,705 "," 357,625 "," 16,920 ", 0.05 ,0
395,Randolph Scott,RTF,21,185,39,118,21.1%,63.8%," 179,015 "," 187,896 "," 8,881 ", 0.05 ,0
396,Frank Costanza,LTS,5,62,13,28,21.0%,45.2%," 34,370 "," 36,074 "," 1,704 ", 0.05 ,0
397,Gator,RTS,20,223,42,116,18.8%,52.0%," 204,653 "," 214,568 "," 9,915 ", 0.05 ,0
398,Stylish Stud #8967,#N/A,5,208,41,112,19.7%,53.8%," 401,731 "," 421,181 "," 19,450 ", 0.05 ,6
399,Hazel Eyes,RTF,5,91,12,32,13.2%,35.2%," 146,150 "," 153,180 "," 7,030 ", 0.05 ,0
400,Or So I Think,RTF,19,79,7,27,8.9%,34.2%," 120,020 "," 125,701 "," 5,681 ", 0.05 ,1
401,Bridgetown,RTF,13,110,20,48,18.2%,43.6%," 106,920 "," 111,919 "," 4,999 ", 0.05 ,0
402,Christo Neptunia,RTF,6,162,30,77,18.5%,47.5%," 177,749 "," 185,931 "," 8,182 ", 0.05 ,0
403,Shark Smile,LDS,19,256,41,128,16.0%,50.0%," 268,255 "," 280,512 "," 12,257 ", 0.05 ,0
404,Ransom Note,RTF,68,629,102,272,16.2%,43.2%," 533,618 "," 557,165 "," 23,547 ", 0.04 ,0
405,Barbadian Boy,LDS,13,134,25,59,18.7%,44.0%," 237,990 "," 248,318 "," 10,328 ", 0.04 ,0
406,JAKO Boy,RDF,138,2294,399,986,17.4%,43.0%," 2,926,785 "," 3,050,354 "," 123,569 ", 0.04 ,9
407,Black Nose Wrangler,RDF,15,250,32,112,12.8%,44.8%," 274,035 "," 285,503 "," 11,468 ", 0.04 ,0
408,Pasture Ass,RDF,311,7957,1195,3319,15.0%,41.7%," 22,877,905 "," 23,833,563 "," 955,658 ", 0.04 ,186
409,Sheriff,LDF,8,108,18,50,16.7%,46.3%," 107,035 "," 111,443 "," 4,408 ", 0.04 ,0
410,Baking Brownie,LDS,7,49,8,28,16.3%,57.1%," 65,330 "," 67,975 "," 2,645 ", 0.04 ,0
411,Right Paul,RTF,19,122,16,52,13.1%,42.6%," 103,300 "," 107,424 "," 4,124 ", 0.04 ,0
412,Celtic Monke,RDF,16,169,31,73,18.3%,43.2%," 196,605 "," 204,453 "," 7,848 ", 0.04 ,0
413,Marshall Law,RTF,27,264,36,98,13.6%,37.1%," 184,210 "," 191,536 "," 7,326 ", 0.04 ,0
414,Roadrunner,RTF,32,707,97,288,13.7%,40.7%," 903,500 "," 939,212 "," 35,712 ", 0.04 ,4
415,Leif,RTS,7,85,15,44,17.6%,51.8%," 46,405 "," 48,212 "," 1,807 ", 0.04 ,0
416,King of Honey,RDF,61,649,100,272,15.4%,41.9%," 978,875 "," 1,016,768 "," 37,893 ", 0.04 ,1
417,Xaar,LDS,8,82,14,48,17.1%,58.5%," 87,590 "," 90,968 "," 3,378 ", 0.04 ,0
418,Eclipse's Legacy,LDS,7,45,5,22,11.1%,48.9%," 30,765 "," 31,940 "," 1,175 ", 0.04 ,0
419,Jenet Storm,LDS,6,59,9,28,15.3%,47.5%," 28,860 "," 29,936 "," 1,076 ", 0.04 ,0
420,Thoth,RDF,11,120,19,62,15.8%,51.7%," 77,225 "," 80,085 "," 2,860 ", 0.04 ,0
421,Bitsy Belle,RTS,14,156,27,76,17.3%,48.7%," 124,150 "," 128,725 "," 4,575 ", 0.04 ,0
422,Space Warrior,LDF,8,131,26,68,19.8%,51.9%," 150,815 "," 156,348 "," 5,533 ", 0.04 ,0
423,Cervantes,RTF,9,169,34,77,20.1%,45.6%," 133,330 "," 138,143 "," 4,813 ", 0.04 ,0
424,Lao Feng,RTF,26,200,30,72,15.0%,36.0%," 302,815 "," 313,653 "," 10,838 ", 0.04 ,2
425,Shinigami,RTS,23,462,108,230,23.4%,49.8%," 601,560 "," 622,958 "," 21,398 ", 0.04 ,1
426,Boss Time,RTF,36,280,32,108,11.4%,38.6%," 550,205 "," 569,358 "," 19,153 ", 0.03 ,0
427,Royal Luck,RTS,68,875,162,427,18.5%,48.8%," 1,389,235 "," 1,437,523 "," 48,288 ", 0.03 ,12
428,Hazel's Giant,RTF,6,86,16,38,18.6%,44.2%," 67,500 "," 69,838 "," 2,338 ", 0.03 ,0
429,Nile,RTS,11,122,17,45,13.9%,36.9%," 137,320 "," 142,054 "," 4,734 ", 0.03 ,0
430,Native Monk,LDS,118,1938,310,862,16.0%,44.5%," 4,086,104 "," 4,226,470 "," 140,366 ", 0.03 ,34
431,Gosho Hubaveca,LTS,150,2894,455,1338,15.7%,46.2%," 7,218,226 "," 7,466,181 "," 247,955 ", 0.03 ,62
432,Stylish Stud #9924,#N/A,89,4060,854,2328,21.0%,57.3%," 11,737,721 "," 12,134,618 "," 396,897 ", 0.03 ,317
433,Drops from God,LTS,50,798,152,402,19.0%,50.4%," 1,816,390 "," 1,877,179 "," 60,789 ", 0.03 ,6
434,Caffeine Rush,LDS,14,104,15,39,14.4%,37.5%," 108,190 "," 111,761 "," 3,571 ", 0.03 ,0
435,Eclipse,LDS,397,8625,1361,3792,15.8%,44.0%," 19,401,896 "," 20,040,682 "," 638,786 ", 0.03 ,78
436,Product Market Fit,LDF,103,1433,214,594,14.9%,41.5%," 2,844,986 "," 2,938,395 "," 93,409 ", 0.03 ,27
437,Stylish Stud #1951,#N/A,13,354,66,183,18.6%,51.7%," 661,581 "," 683,156 "," 21,575 ", 0.03 ,9
438,Catastrophizing,LDS,19,368,57,177,15.5%,48.1%," 398,816 "," 411,765 "," 12,949 ", 0.03 ,0
439,Takoba,RTF,9,219,36,117,16.4%,53.4%," 191,585 "," 197,762 "," 6,177 ", 0.03 ,0
440,Harald,RDF,6,82,13,41,15.9%,50.0%," 75,545 "," 77,973 "," 2,428 ", 0.03 ,0
441,Legend of Time,RDF,107,1404,177,537,12.6%,38.2%," 2,630,656 "," 2,713,544 "," 82,888 ", 0.03 ,8
442,Mr Brooklyn,RTS,6,95,18,53,18.9%,55.8%," 65,131 "," 67,150 "," 2,019 ", 0.03 ,0
443,Shaquille Oatmeal,LDS,5,29,5,10,17.2%,34.5%," 24,225 "," 24,973 ", 748 , 0.03 ,0
444,Zero Minus,LDS,15,77,11,28,14.3%,36.4%," 51,360 "," 52,934 "," 1,574 ", 0.03 ,0
445,Sauco,RDS,9,34,7,17,20.6%,50.0%," 23,690 "," 24,415 ", 725 , 0.03 ,0
446,Untouchable,LDS,17,239,28,94,11.7%,39.3%," 531,490 "," 547,659 "," 16,169 ", 0.03 ,0
447,Dark the Star,LTS,12,178,35,74,19.7%,41.6%," 255,180 "," 262,808 "," 7,628 ", 0.03 ,0
448,Star Gun,RTF,50,560,80,252,14.3%,45.0%," 734,786 "," 756,671 "," 21,885 ", 0.03 ,0
449,Noble Diamond,RDF,76,1435,239,636,16.7%,44.3%," 2,629,736 "," 2,707,845 "," 78,109 ", 0.03 ,11
450,Denver Dan,LDF,15,111,21,62,18.9%,55.9%," 101,230 "," 104,223 "," 2,993 ", 0.03 ,0
451,Lith of Mirrow,RDS,17,105,14,48,13.3%,45.7%," 164,205 "," 169,008 "," 4,803 ", 0.03 ,0
452,Chemist Of Jupiter,RTF,23,208,36,79,17.3%,38.0%," 193,436 "," 199,091 "," 5,655 ", 0.03 ,0
453,Champagne Fever,RTS,128,2114,340,1005,16.1%,47.5%," 2,641,025 "," 2,717,583 "," 76,558 ", 0.03 ,2
454,Liam Neighson,LTS,119,1569,240,718,15.3%,45.8%," 1,852,070 "," 1,905,382 "," 53,312 ", 0.03 ,0
455,Red Skin,RDF,12,61,11,25,18.0%,41.0%," 65,240 "," 67,094 "," 1,854 ", 0.03 ,0
456,Monke Business,LTS,37,258,21,83,8.1%,32.2%," 431,956 "," 443,975 "," 12,019 ", 0.03 ,0
457,Your Move,RDF,10,97,16,56,16.5%,57.7%," 67,655 "," 69,514 "," 1,859 ", 0.03 ,0
458,Blind Nick,RDS,6,41,7,25,17.1%,61.0%," 49,165 "," 50,487 "," 1,322 ", 0.03 ,0
459,Mofigrine,LTF,8,32,6,14,18.8%,43.8%," 36,434 "," 37,391 ", 957 , 0.03 ,0
460,Slovakia,RTF,5,153,25,73,16.3%,47.7%," 87,520 "," 89,706 "," 2,186 ", 0.02 ,0
461,Renegade,RTS,5,101,17,40,16.8%,39.6%," 300,705 "," 308,140 "," 7,435 ", 0.02 ,7
462,BBQ Seasoning,RTS,15,220,35,110,15.9%,50.0%," 268,310 "," 274,864 "," 6,554 ", 0.02 ,0
463,Othello,RTF,6,66,11,30,16.7%,45.5%," 75,000 "," 76,795 "," 1,795 ", 0.02 ,0
464,May Be Bold,LDF,5,33,6,15,18.2%,45.5%," 45,160 "," 46,230 "," 1,070 ", 0.02 ,0
465,Spot Light,RDF,124,1842,316,825,17.2%,44.8%," 1,757,555 "," 1,797,166 "," 39,611 ", 0.02 ,0
466,Senseless Goodbye,LDS,6,63,11,26,17.5%,41.3%," 73,905 "," 75,453 "," 1,548 ", 0.02 ,0
467,De Biscuit,RDF,131,3237,481,1332,14.9%,41.1%," 9,443,204 "," 9,639,586 "," 196,382 ", 0.02 ,75
468,North Bound Train,RTF,13,160,31,72,19.4%,45.0%," 155,175 "," 158,340 "," 3,165 ", 0.02 ,0
469,Dirty Diana,RTF,196,3655,552,1454,15.1%,39.8%," 8,640,914 "," 8,816,768 "," 175,854 ", 0.02 ,44
470,Blaze Blood,LDF,11,30,5,11,16.7%,36.7%," 40,590 "," 41,415 ", 825 , 0.02 ,0
471,Primo Cleo,RDF,86,1308,194,554,14.8%,42.4%," 2,008,725 "," 2,048,511 "," 39,786 ", 0.02 ,0
472,Ristretto,LDF,5,32,5,15,15.6%,46.9%," 20,630 "," 21,035 ", 405 , 0.02 ,0
473,Lord Pepe,LTS,6,26,4,8,15.4%,30.8%," 36,985 "," 37,695 ", 710 , 0.02 ,0
474,Biggie Smalls,LDS,110,1404,245,612,17.5%,43.6%," 2,636,703 "," 2,687,203 "," 50,500 ", 0.02 ,11
475,Mystical Groove,LTS,8,104,17,47,16.3%,45.2%," 121,025 "," 123,342 "," 2,317 ", 0.02 ,0
476,big merv,LDF,9,91,16,42,17.6%,46.2%," 59,390 "," 60,448 "," 1,058 ", 0.02 ,0
477,Fountains of Wayne,LTS,13,152,18,65,11.8%,42.8%," 218,550 "," 222,160 "," 3,610 ", 0.02 ,0
478,Thunder Bolt,RDF,10,108,19,51,17.6%,47.2%," 72,645 "," 73,840 "," 1,195 ", 0.02 ,0
479,Bedlam,RDF,42,1746,309,793,17.7%,45.4%," 7,905,485 "," 8,033,866 "," 128,381 ", 0.02 ,100
480,Spirit of Doc,RDS,12,234,31,107,13.2%,45.7%," 655,215 "," 665,786 "," 10,571 ", 0.02 ,2
481,Buggane,LDS,38,525,81,237,15.4%,45.1%," 819,130 "," 832,263 "," 13,133 ", 0.02 ,2
482,Alké F.f Machina,RDS,7,42,7,21,16.7%,50.0%," 39,045 "," 39,629 ", 584 , 0.01 ,0
483,Storm Front,LDS,12,108,10,39,9.3%,36.1%," 61,350 "," 62,262 ", 912 , 0.01 ,0
484,Cloud Chaser,LTS,15,166,34,90,20.5%,54.2%," 288,215 "," 292,388 "," 4,173 ", 0.01 ,2
485,Race In Peace,LDS,5,15,2,5,13.3%,33.3%," 9,985 "," 10,123 ", 138 , 0.01 ,0
486,Jiving,LTS,7,69,9,34,13.0%,49.3%," 89,695 "," 90,918 "," 1,223 ", 0.01 ,0
487,Rousbay Tis Seville,RDS,14,219,50,121,22.8%,55.3%," 165,780 "," 168,002 "," 2,222 ", 0.01 ,0
488,Mercury's Advice,RTF,9,39,8,21,20.5%,53.8%," 28,730 "," 29,101 ", 371 , 0.01 ,0
489,Lorem Ipsum,LDS,8,115,21,55,18.3%,47.8%," 131,005 "," 132,668 "," 1,663 ", 0.01 ,0
